frame,vis_score,vis_label,n_obj,n_danger,n_caution,n_safe,nearest_m,min_ttc,obj_classes
1642,0.861,Good,3,0,2,1,22.43,,vehicle;vehicle;vehicle
1645,0.866,Good,2,0,1,1,27.04,2.88,vehicle;vehicle
1648,0.873,Good,1,0,0,1,48.39,,vehicle
1651,0.875,Good,5,0,2,3,15.58,,vehicle;vehicle;vehicle;vehicle;vehicle
1654,0.871,Good,4,1,1,2,13.33,,vehicle;vehicle;vehicle;vehicle
1657,0.869,Good,5,1,2,2,11.64,,vehicle;vehicle;vehicle;vehicle;vehicle
1660,0.875,Good,9,2,1,6,13.52,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
1663,0.888,Good,5,0,3,2,16.13,0.61,vehicle;vehicle;vehicle;vehicle;vehicle
1666,0.901,Good,9,1,4,4,12.26,1.45,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
1669,0.891,Good,8,0,3,5,22.43,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
1672,0.888,Good,4,0,3,1,19.99,,vehicle;vehicle;vehicle;vehicle
1675,0.890,Good,5,0,3,2,15.07,,vehicle;vehicle;vehicle;vehicle;vehicle
1678,0.882,Good,5,0,2,3,14.83,0.50,vehicle;vehicle;vehicle;vehicle;vehicle
1681,0.883,Good,5,0,1,4,22.43,0.50,vehicle;vehicle;vehicle;vehicle;vehicle
1684,0.886,Good,4,0,1,3,16.72,,vehicle;vehicle;vehicle;vehicle
1687,0.886,Good,3,0,0,3,28.73,,vehicle;vehicle;vehicle
1690,0.881,Good,3,0,0,3,48.39,,vehicle;vehicle;vehicle
1693,0.880,Good,2,0,0,2,28.16,,vehicle;pedestrian
1696,0.879,Good,3,0,2,1,17.03,3.10,vehicle;vehicle;vehicle
1699,0.894,Good,1,0,0,1,54.09,,vehicle
1702,0.892,Good,1,0,1,0,34.05,,vehicle
1705,0.899,Good,5,1,1,3,14.37,0.68,vehicle;vehicle;pedestrian;vehicle;vehicle
1708,0.911,Good,1,0,1,0,15.58,,vehicle
1711,0.910,Good,2,0,2,0,15.32,0.50,vehicle;vehicle
1714,0.918,Good,5,1,1,3,10.33,,vehicle;vehicle;vehicle;vehicle;vehicle
1717,0.916,Good,1,0,1,0,14.59,,vehicle
1720,0.913,Good,5,0,2,3,13.93,0.99,vehicle;vehicle;vehicle;vehicle;vehicle
1723,0.893,Good,4,0,2,2,30.65,,vehicle;vehicle;vehicle;vehicle
1726,0.868,Good,2,0,1,1,20.43,,vehicle;vehicle
1729,0.836,Good,3,0,2,1,30.65,,vehicle;vehicle;vehicle
1732,0.814,Good,4,1,2,1,5.57,0.50,vehicle;vehicle;vehicle;vehicle
